"","0.1290","0.2580","0.3870","0.5160","0.6450","0.7740","0.8385","0.9030",
"-40.0000","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344",
"-30.0000","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344",
"-20.0000","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344","0.7344",
"-10.0000","0.0000","0.0000","0.0000","0.0000","0.7344","0.7344","0.7344","0.7344",
"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7344","0.7344","0.7344",
"10.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.3675","0.3675","0.7344",
"20.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7344",
"30.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7344",
"40.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7344",
"50.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.5875",
"60.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.5875",
"70.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.5875",
"80.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"90.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"100.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"110.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"",
"Series","Name","Unit",
"Table","Fuel - Closed Loop - Lean Limit/Adder - Main - Lean Limit/Adder (TGV Open)","LAMBDA",
"X Axis","Fueling - Closed Loop - Calculated Load","G_PER_REV",
"Y Axis","Coolant Temperature","CELSIUS",
