"","0.2580","0.5160","0.7740","1.0320","1.2900","1.5480","1.8060","2.0640",
"800.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"1200.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"1600.0000","0.0000","0.0000","0.0000","0.0000","-80.0000","0.0000","-60.0000","0.0000",
"2000.0000","0.0000","0.0000","0.0000","0.0000","-60.0000","-80.0000","-30.0000","0.0000",
"2400.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-80.0000","-60.0000","-60.0000",
"2800.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-80.0000","-40.0000","0.0000",
"3200.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-80.0000","-40.0000",
"3600.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"4000.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000",
"4400.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"4800.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"5200.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"5600.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"6000.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"6400.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"6800.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"",
"Series","Name","Unit",
"Table","Fuel - Injectors - Start of Injection - Compensation - Compensation (Homogeneous)","DEGREES",
"X Axis","Fueling - Closed Loop - Calculated Load","G_PER_REV",
"Y Axis","RPM","RPM",
