"","-40.0000","-10.0000","0.0000","10.0000","20.0000","30.0000","35.0000","40.0000",
"-50.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"10.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"30.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"80.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"85.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.5020","0.5020",
"90.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.5020","1.0000",
"100.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.5020","1.0000",
"",
"Series","Name","Unit",
"Table","Fuel - Injectors - Start of Injection - Compensation - Compensation Activation (Homogeneous)","PERCENT",
"X Axis","Fueling - Injectors - Intake Air Temperature","CELSIUS",
"Y Axis","Fueling - Injectors - Oil Temp","CELSIUS",
