"","0.2580","0.5160","0.7740","1.2900","1.8060","2.0640","2.3220","2.5800",
"0.0000","2662.0000","2662.0000","2662.0000","2662.0000","2662.0000","2662.0000","2662.0000","2662.0000",
"400.0000","2662.0000","2662.0000","2662.0000","2662.0000","2662.0000","2662.0000","2662.0000","2662.0000",
"800.0000","2662.0000","2662.0000","2662.0000","2662.0000","2662.0000","2662.0000","2662.0000","2662.0000",
"1200.0000","2970.0000","2970.0000","2970.0000","2970.0000","2970.0000","2970.0000","2970.0000","2970.0000",
"1600.0000","2944.0000","2944.0000","2944.0000","2944.0000","2944.0000","2944.0000","2944.0000","2944.0000",
"2000.0000","3482.0000","3482.0000","3482.0000","3482.0000","3482.0000","3482.0000","3482.0000","3482.0000",
"2400.0000","3968.0000","3968.0000","3968.0000","3968.0000","3968.0000","3968.0000","3968.0000","3968.0000",
"2800.0000","3174.0000","3174.0000","3174.0000","3174.0000","3174.0000","3174.0000","3174.0000","3174.0000",
"3200.0000","3328.0000","3328.0000","3328.0000","3328.0000","3328.0000","3328.0000","3328.0000","3328.0000",
"3600.0000","3738.0000","3738.0000","3738.0000","3738.0000","3738.0000","3738.0000","3738.0000","3738.0000",
"4000.0000","4096.0000","4096.0000","4096.0000","4096.0000","4096.0000","4096.0000","4096.0000","4096.0000",
"4400.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000",
"4800.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000",
"5200.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000",
"5600.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000",
"6000.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000","3635.0000",
"",
"Series","Name","Unit",
"Table","Ignition - Knock Thresholds - High Timing - Cylinder 1","NONE",
"X Axis","Fueling - Closed Loop - Calculated Load","G_PER_REV",
"Y Axis","Timing - Compensation - RPM","RPM",
